,author,title,sent_complexity,avg_sent_complex,stdev_sent_complex
0, Jules Feiffer,"Bark, George","[11, 7, 9, 6, 6, 5, 9, 9, 8, 5, 7, 9, 6, 6, 5, 7, 11, 11, 5, 7, 7, 4, 4, 6, 6, 9, 7, 4, 4, 6, 6, 7, 7, 4, 4, 6, 6, 7, 7, 4, 4, 7, 4, 4, 6, 6, 15, 4, 4, 5, 5, 5, 5, 12, 7, 7]",6.5,2.29906813420444
1, Robert McCloskey,Blueberries for Sal,"[9, 10, 8, 10, 8, 4, 4, 6, 7, 8, 5, 9, 11, 9, 9, 6, 10, 9, 16, 12, 10, 13, 11, 9, 9, 10, 8, 12, 11, 18, 12, 11, 9, 10, 13, 6, 18, 10, 10, 12, 7, 9, 9, 9, 7, 10, 12, 6, 17, 17, 5, 6, 9, 12, 6, 11, 6, 7, 16, 10, 12, 12, 8, 16, 14, 8, 9, 9, 8, 9, 8, 14, 11, 12, 5, 5, 11, 19, 11, 10, 12]",9.950617283950617,3.2957182643878684
2, Bill Martin Jr,"Brown Bear, Brown Bear, What Do You See?","[11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 7, 9, 8]",9.73913043478261,1.1875217638041444
3, Doreen Cronin,"Click, Clack, Moo Cows that Type","[6, 7, 7, 5, 5, 9, 5, 5, 5, 5, 5, 9, 8, 8, 14, 6, 5, 7, 7, 5, 8, 6, 6, 6, 10, 5, 5, 8, 8, 9, 7, 5, 5, 4, 6, 6, 6, 5, 5, 5, 6, 6, 8, 9, 6, 6, 8, 6, 6, 10, 6, 8, 7, 7, 8, 9, 9, 11, 8, 8, 6, 5, 5]",6.761904761904762,1.8319413392067947
4, Judi Barrett,Cloudy With a Chance of Meatballs,"[8, 6, 6, 9, 14, 7, 10, 4, 4, 7, 11, 6, 7, 12, 13, 8, 4, 4, 8, 7, 11, 10, 9, 9, 10, 8, 8, 8, 6, 6, 6, 7, 7, 9, 11, 8, 11, 10, 5, 8, 10, 7, 7, 9, 6, 8, 7, 9, 12, 8, 16, 8, 10, 15, 10, 8, 7, 8, 6, 16, 8, 7, 6, 6, 10, 9, 7, 11, 6, 9, 8, 10, 10, 9, 11, 6, 10, 9, 8, 10, 11, 6, 6, 6, 6, 7, 11, 10, 12, 8, 9, 4, 4, 8, 10, 16, 12, 13, 16, 12, 9, 8, 8, 17, 7, 10, 6, 12, 12, 13, 4]",8.756756756756756,2.835477353765254
5, Don Freeman,Corduroy,"[13, 10, 13, 11, 5, 5, 5, 11, 5, 5, 9, 9, 12, 9, 19, 11, 12, 9, 9, 8, 5, 16, 9, 10, 10, 7, 7, 6, 5, 9, 8, 8, 9, 7, 8, 9, 8, 9, 5, 10, 12, 10, 6, 5, 7, 11, 11, 12, 12, 14, 8, 5, 8, 7, 9, 5, 10, 8, 10, 10, 11, 13, 8, 6, 5, 7]",8.863636363636363,2.8861548480915804
6, H.A. Rey,Curious George,"[6, 7, 7, 6, 7, 6, 8, 13, 10, 10, 8, 15, 7, 9, 8, 8, 6, 8, 8, 8, 6, 13, 7, 13, 8, 8, 9, 6, 8, 6, 8, 6, 7, 6, 10, 5, 10, 7, 8, 13, 11, 7, 8, 6, 6, 6, 6, 6, 7, 6, 5, 7, 6, 7, 5, 4, 5, 6, 15, 12, 9, 5, 5, 5, 10, 7, 6, 5, 5, 5, 7, 6, 5, 5, 11, 9, 11, 7, 12, 8, 9, 9, 6, 9, 6, 8, 9, 11, 9, 6, 8, 7, 5, 7, 10, 11, 10, 6, 8, 6, 7, 7, 5, 8, 6, 10, 6, 7, 10, 10, 6, 6, 11, 11, 9]",7.756521739130434,2.301573391316116
7,Sheila McGraw,Love You Forever,"[7, 15, 5, 7, 11, 11, 15, 14, 11, 16, 5, 7, 10, 16, 10, 10, 8, 15, 5, 7, 9, 9, 10, 10, 8, 16, 5, 7, 12, 8, 8, 12, 8, 16, 6, 7, 12, 9, 9, 10, 4, 4, 12, 7, 7, 23, 9, 9, 8, 8, 16]",9.862745098039216,3.8400347621135773
8, Ruth Krauss,The Carrot Seed,"[6, 12, 12, 14, 6, 6, 12, 8, 12]",9.777777777777779,3.0469576001782417
9, Ezra Jack Keats,The snowy Day,"[7, 8, 10, 8, 15, 7, 17, 13, 16, 8, 17, 9, 9, 9, 9, 10, 7, 9, 8, 9, 6, 6, 6, 10, 8, 6, 6, 9]",9.357142857142858,3.2206286621701414
