,subject,session,sent_complexities,avg_sent_complex,sd_sent_complex
0,22,1,"[5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 5, 8, 5, 7, 6, 6, 5, 5, 5, 7, 7, 7, 6, 9, 9, 9, 5, 6, 5, 5, 8, 6, 5, 5, 9, 5, 4, 5, 10, 6, 5, 6, 6, 5, 5, 9, 8, 5, 7, 6, 9, 7, 6, 4, 6, 6, 10, 5, 10, 9, 10, 5, 13, 5, 7, 6, 10, 6, 5, 6, 8, 8, 6, 6, 6, 9, 9, 9, 7, 6, 8, 5, 12, 5, 6, 9, 13, 5]",6.677777777777778,1.9426658532243652
1,22,2,"[7, 6, 6, 5, 6, 6, 5, 6, 4, 4, 6, 10, 5, 5, 10, 5, 7, 5, 9, 5, 6, 5, 7, 6, 5, 10, 10, 7, 5, 7, 9, 6, 6, 5, 5, 5, 6, 4, 8, 8, 6, 9, 5, 10, 9, 7, 6, 10, 10, 7, 6, 6, 6, 6, 4, 5, 6, 9, 6, 5, 6, 6, 8, 5, 6, 5, 5, 6, 5, 8, 5, 6, 4, 5, 9, 9, 5, 6, 5, 5, 5, 8, 5, 7, 5, 5, 9, 5, 6, 5]",6.322222222222222,1.6788076309477495
2,22,3,"[5, 11, 5, 5, 7, 11, 5, 4, 6, 6, 7, 5, 11, 6, 6, 10, 8, 6, 9, 7, 7, 5, 6, 6, 6, 6, 8, 5, 8, 5, 5, 6, 8, 6, 12, 5, 7, 13, 5, 5, 11, 6, 7, 9, 5, 4, 6, 6, 6, 5, 9, 5, 4, 9, 5, 6, 8, 9, 7, 6, 5, 6, 7, 6, 6, 6, 6, 10, 6, 7, 7, 8, 5, 6, 4, 6, 5, 4, 6, 8, 6, 4, 6, 8, 6, 13, 8, 8, 5, 7]",6.688888888888889,2.0091150315192365
3,22,4,"[5, 9, 4, 8, 6, 4, 6, 9, 11, 6, 5, 7, 4, 7, 11, 4, 4, 7, 7, 4, 8, 5, 6, 4, 7, 6, 6, 5, 6, 6, 5, 6, 6, 7, 6, 6, 8, 9, 6, 5, 5, 7, 8, 6, 6, 8, 8, 9, 4, 9, 5, 6, 6, 6, 8, 9, 10, 4, 5, 4, 7, 6, 7, 4, 6, 11, 6, 9, 9, 5, 5, 6, 6, 10, 5, 5, 6, 6, 5, 7, 8, 6, 4, 6, 7, 6, 6, 9, 6, 6]",6.433333333333334,1.751507287389287
4,22,5,"[5, 6, 6, 6, 5, 6, 12, 9, 6, 5, 5, 8, 5, 5, 8, 6, 6, 9, 11, 11, 11, 7, 10, 8, 4, 8, 5, 6, 7, 4, 5, 8, 6, 13, 12, 9, 9, 4, 8, 10, 6, 6, 8, 10, 7, 6, 7, 8, 7, 11, 12, 8, 8, 8, 5, 9, 8, 9, 13, 8, 16, 5, 7, 5, 6, 8, 5, 12, 10, 6, 8, 5, 5, 5, 9, 9, 9, 6, 5, 4, 7, 5, 9, 4, 9, 5, 5, 9, 5, 5]",7.4,2.462158041682585
5,22,6,"[5, 5, 10, 6, 13, 10, 11, 8, 8, 4, 6, 5, 5, 4, 6, 5, 5, 8, 7, 5, 5, 13, 13, 12, 6, 5, 6, 8, 6, 8, 7, 7, 5, 5, 9, 10, 6, 5, 8, 8, 5, 9, 8, 7, 5, 8, 8, 5, 5, 5, 5, 5, 6, 9, 5, 6, 5, 8, 5, 4, 4, 6, 6, 5, 5, 5, 9, 7, 7, 14, 4, 5, 6, 5, 5, 6, 4, 5, 7, 6, 6, 9, 6, 9, 5, 9, 6, 8, 5, 8]",6.7,2.2432615144521653
6,22,7,"[8, 9, 10, 7, 7, 8, 9, 6, 6, 14, 4, 8, 7, 5, 7, 5, 12, 6, 14, 9, 6, 5, 11, 10, 17, 6, 12, 6, 7, 6, 10, 7, 6, 5, 8, 6, 5, 6, 6, 13, 7, 5, 8, 5, 10, 5, 11, 5, 13, 9, 6, 10, 9, 6, 10, 12, 7, 9, 19, 4, 5, 11, 10, 5, 8, 6, 5, 4, 5, 7, 6, 5, 5, 5, 5, 5, 11, 6, 5, 6, 6, 6, 6, 5, 15, 7, 13, 6, 7, 6]",7.677777777777778,3.043491334992239
7,22,8,"[6, 8, 6, 4, 9, 5, 4, 5, 7, 8, 4, 7, 5, 7, 6, 11, 9, 9, 8, 9, 5, 5, 6, 8, 5, 11, 7, 9, 5, 10, 5, 8, 11, 6, 8, 6, 6, 13, 5, 9, 8, 5, 10, 6, 7, 5, 6, 5, 6, 23, 12, 6, 9, 6, 6, 6, 8, 6, 5, 7, 5, 8, 5, 7, 7, 6, 8, 8, 6, 15, 6, 5, 8, 5, 10, 5, 6, 12, 7, 6, 9, 5, 7, 7, 5, 8, 5, 11, 5, 5]",7.211111111111111,2.7426444839665423
8,22,9,"[5, 13, 6, 6, 6, 6, 6, 6, 8, 4, 6, 7, 9, 8, 4, 7, 9, 5, 8, 9, 5, 5, 7, 5, 4, 10, 10, 4, 6, 7, 6, 8, 10, 6, 14, 6, 6, 7, 11, 6, 6, 6, 7, 9, 8, 6, 6, 5, 6, 16, 8, 7, 5, 6, 9, 7, 14, 6, 7, 6, 6, 6, 6, 6, 8, 4, 6, 9, 6, 4, 10, 5, 6, 9, 7, 6, 5, 6, 6, 7, 6, 7, 6, 6, 5, 7, 4, 7, 9, 9]",6.944444444444445,2.227909389296068
9,22,10,"[8, 6, 6, 6, 7, 10, 10, 5, 11, 8, 9, 8, 11, 7, 9, 7, 10, 7, 6, 6, 10, 5, 6, 11, 9, 16, 7, 6, 6, 11, 6, 5, 5, 8, 5, 7, 6, 9, 8, 8, 16, 5, 4, 4, 4, 4, 7, 9, 7, 10, 6, 8, 7, 4, 11, 10, 7, 7, 10, 8, 16, 9, 5, 6, 8, 6, 6, 8, 5, 12, 4, 8, 6, 10, 16, 9, 8, 4, 6, 6, 6, 9, 6, 8, 4, 4, 8, 9, 9, 9]",7.655555555555556,2.6922155729729416
